b252fe742038a8799f1b0730712cf81e

Rectangle@( 2275.0 , 1103.5 ), width: 4542.0 , height: 97.0

Rectangle@( 10120.0 , 1103.5 ), width: 2764.0 , height: 97.0

Rectangle@( 53.0 , 528.0 ), width: 98.0 , height: 1054.0

Rectangle@( 11453.5 , 528.0 ), width: 97.0 , height: 1054.0

Rectangle@( 2895.0 , 958.0 ), width: 194.0 , height: 192.0

Rectangle@( 3339.0 , 916.5 ), width: 98.0 , height: 275.0

Rectangle@( 3661.0 , 879.5 ), width: 98.0 , height: 349.0

Rectangle@( 4053.0 , 842.5 ), width: 98.0 , height: 423.0

Rectangle@( 4449.0 , 766.0 ), width: 194.0 , height: 576.0

Rectangle@( 6206.5 , 999.5 ), width: 385.0 , height: 97.0

Rectangle@( 5596.5 , 893.5 ), width: 97.0 , height: 97.0

Rectangle@( 5230.5 , 776.5 ), width: 97.0 , height: 97.0

Rectangle@( 4936.5 , 662.5 ), width: 97.0 , height: 97.0

Rectangle@( 4690.5 , 560.5 ), width: 97.0 , height: 97.0

Rectangle@( 2246.5 , 524.5 ), width: 97.0 , height: 97.0

Rectangle@( 2534.5 , 524.5 ), width: 97.0 , height: 97.0

Rectangle@( 8819.0 , 291.0 ), width: 194.0 , height: 384.0

Rectangle@( 2390.5 , 426.5 ), width: 385.0 , height: 97.0

Rectangle@( 895.0 , 195.0 ), width: 194.0 , height: 192.0

Rectangle@( 2895.0 , 195.0 ), width: 194.0 , height: 192.0

Rectangle@( 547.0 , 49.5 ), width: 890.0 , height: 97.0

Rectangle@( 7150.0 , 49.5 ), width: 8704.0 , height: 97.0

